   instance1    ; nodes, edges ; ( UB,  LB) ; isOptimum ; wall_time ; nTasks, cpusPerTask
   david.col    ;   87 ,  812  ; ( 11,  11) ;    Yes    ;   5   sec ;   64  ,   16 
 fpsol2.i.1.col ;  496 , 23308 ; ( 65,  65) ;    Yes    ;   60  sec ;   64  ,   16 
  games120.col  ;  120 ,  1276 ; ( 9 ,  9 ) ;    Yes    ;   6   sec ;   64  ,   16 
   homer.col    ;  561 ,  3256 ; ( 13,  13) ;    Yes    ;   12  sec ;   64  ,   16 
    huck.col    ;   74 ,  602  ; ( 11,  11) ;    Yes    ;   4   sec ;   64  ,   16 
 inithx.i.3.col ;  621 , 27938 ; ( 31,  31) ;    Yes    ;   43  sec ;   64  ,   16 
    jean.col    ;   80 ,  508  ; ( 10,  10) ;    Yes    ;   4   sec ;   64  ,   16 
  le450_5b.col  ;  450 , 11468 ; ( 7 ,  5 ) ;  Unknown  ;  9914 sec ;   64  ,   16 
 miles1500.col  ;  128 , 10396 ; ( 73,  73) ;    Yes    ;   29  sec ;   64  ,   16 
  miles250.col  ;  128 ,  774  ; ( 8 ,  8 ) ;    Yes    ;   6   sec ;   64  ,   16 
 mulsol.i.1.col ;  197 ,  7850 ; ( 49,  49) ;    Yes    ;   17  sec ;   64  ,   16 
  myciel4.col   ;   23 ,  142  ; ( 5 ,  2 ) ;  Unknown  ;  9902 sec ;   64  ,   16 
  myciel5.col   ;   47 ,  472  ; ( 6 ,  2 ) ;  Unknown  ;  9904 sec ;   64  ,   16 
  myciel7.col   ;  191 ,  4720 ; ( 8 ,  2 ) ;  Unknown  ;  9907 sec ;   64  ,   16 
 queen10_10.col ;  100 ,  2940 ; ( 12,  10) ;  Unknown  ;  9906 sec ;   64  ,   16 
 queen11_11.col ;  121 ,  3960 ; ( 13,  11) ;  Unknown  ;  9905 sec ;   64  ,   16 
 queen12_12.col ;  144 ,  5192 ; ( 14,  12) ;  Unknown  ;  9905 sec ;   64  ,   16 
 queen13_13.col ;  169 ,  6656 ; ( 15,  13) ;  Unknown  ;  9908 sec ;   64  ,   16 
 queen14_14.col ;  196 ,  8372 ; ( 17,  14) ;  Unknown  ;  9910 sec ;   64  ,   16 
 queen15_15.col ;  225 , 10360 ; ( 18,  15) ;  Unknown  ;  9910 sec ;   64  ,   16 
  queen5_5.col  ;   25 ,  320  ; ( 5 ,  5 ) ;    Yes    ;   3   sec ;   64  ,   16 
  queen6_6.col  ;   36 ,  580  ; ( 7 ,  6 ) ;  Unknown  ;  9901 sec ;   64  ,   16 
  queen7_7.col  ;   49 ,  952  ; ( 7 ,  7 ) ;    Yes    ;   22  sec ;   64  ,   16 
 queen8_12.col  ;   96 ,  2736 ; ( 12,  12) ;    Yes    ;   10  sec ;   64  ,   16 
  queen8_8.col  ;   64 ,  1456 ; ( 9 ,  8 ) ;  Unknown  ;  9901 sec ;   64  ,   16 
  queen9_9.col  ;   81 ,  2112 ; ( 10,  9 ) ;  Unknown  ;  9902 sec ;   64  ,   16 
 zeroin.i.1.col ;  211 ,  8200 ; ( 49,  49) ;    Yes    ;   20  sec ;   64  ,   16 

Optimal instances solved: 14/27  (total number of instances = 30)
Missing: {'myciel3', 'anna', 'school1'}
